Фамилия,Имя,Отчество,Прежние ФИО,Дата рождения,Место рождения,СНИЛС,ИНН,Вид документа,Серия и номер,Субъект Российской Федерации,Район,Город,Населенный пункт,Улица,Номер дома,Номер корпуса,Номер квартиры,Тип недвижимости,Вид собственности (недвижимость),Адрес недвижимости,Площадь (кв.м),Основание приобретения (недвижимость),Стоимость (недвижимость),Залог (недвижимость),Тип транспортного средства,Марка (транспорт),Год изготовления (транспорт),Идентификационный номер (VIN),Вид собственности (транспорт),Место нахождения/хранения (транспорт),Стоимость (транспорт),Залог (транспорт),Наименование банка/кредитной организации,Адрес банка/кредитной организации,Вид счета,Валюта счета,Дата открытия счета,Остаток на счете (руб.),Наименование организации,Организационно-правовая форма,Адрес организации,Уставный капитал (руб.),Паевой фонд (руб.),Доля участия (%),Основание участия,Вид ценной бумаги,Лицо выпустившее ценную бумагу,Номинальная величина обязательства (руб),Общее количество,Общая стоимость (руб),Наличные денежные средства,Адрес хранения наличных,Драгоценности,Адрес хранения драгоценностей,Предметы искусства,Адрес хранения предметов искусства,Имущество для профессиональных занятий,Адрес хранения имущества,Иное ценное имущество,Адрес хранения иного имущества,Ссылка на документ,ID
Ларионова,Владимир,Игоревна,Анисимов Велимир Феофанович,2/12/1954,ст. Октябрьский (Башк.),580062751620,2685145606,Паспорт,"3,580,812,127",Камчатский край,Западный,п. Нарым,Село,пер. Народный,55,9,34,Иное недвижимое имущество,Частная,"бул. Ударный, д.99, кв.51",164,Купля-продажа,2577119,Нет,Легковой автомобиль,ООО «Денисова»,1985,JbX-402633,Государственная,"п. Сорочинск, пер. Ягодный, д. 2 к. 3, 364701",2686641,Да,НПО «Кулагин» Банк,"д. Подольск, наб. Харьковская, д. 104 стр. 204, 784636",Сберегательный счет,RUB,7/23/2024,4137557,ЗАО «Фадеева»,ЗАО,"п. Беломорск, бул. Короткий, д. 84 стр. 5, 570232",36859955,15641933,13.58,Приватизация,Вексель,ОАО «Овчинникова-Крылов»,26163,5135,386086,465955,"наб. Приозерная, д.61",183135,"ул. Шолохова, д.87",140434,"алл. Тельмана, д.152",91601,"пр. Фабричный, д.161",220720,"пер. Полярный, д.156",,f62a1c6c-b964-48c7-86e4-a1f921a9b0fd
Дементьев,Полина,Кузьминична,Селезнева Виктория Георгиевич,12/16/1941,ст. Сасово,724155206857,2470855790,Водительское удостоверение,"3,925,733,991",Красноярский край,Западный,к. Кашира,Поселок,пер. Свободы,12,8,36,Земельный участок,Муниципальная,"ул. Белинского, д.41, кв.95",391,Купля-продажа,1895441,Да,Водный транспорт,Моисеев и партнеры,2023,Red-121663,Частная,"п. Уфа, алл. Энергетическая, д. 339 стр. 289, 349186",734772,Да,ОАО «Кошелева» Банк,"к. Катав-Ивановск, алл. Енисейская, д. 9/8 стр. 4/8, 054095",Текущий счет,RUB,10/11/2018,2435786,ЗАО «Иванова Носов»,ОАО,"клх Луга, алл. Владимирская, д. 641 к. 6, 823272",45319953,28668698,51.38,Вклад в уставный капитал,Вексель,"ОАО «Бирюкова, Ефимова и Агафонова»",13640,2187,391144,27369,"бул. Урожайный, д.149",158162,"наб. Профсоюзная, д.91",399206,"ш. Саратовское, д.190",212854,"наб. Малая, д.130",235644,"наб. Тамбовская, д.140",,61cc1a76-576f-43ee-a094-c50191326ad2
Данилова,Милан,Изотович,Цветков Виктор Константиновна,6/30/1974,ст. Белоярский,20962511295,4182061645,Свидетельство о рождении,"7,121,829,506",Забайкальский край,Западный,с. Охотск,Село,ш. Крестьянское,60,8,65,Гараж,Государственная,"алл. Вокзальная, д.168, кв.46",128,Наследство,1091134,Нет,Сельскохозяйственная техника,ОАО «Бобылева»,2004,gut-281962,Государственная,"с. Кулу, ул. Свердлова, д. 240, 569256",4038613,Да,"РАО «Денисова, Силина и Королева» Банк","д. Октябрьское (Хант.), алл. Ульяновская, д. 90 к. 7/5, 807867",Текущий счет,USD,8/29/2016,261993,Hoff (Домашний интерьер),ПАО,"п. Можга, пр. Звездный, д. 1 к. 883, 342684",31607027,4192809,88.35,Вклад в уставный капитал,Фьючерс,АО «Афанасьева Рыбаков»,29014,4819,259698,187270,"алл. Депутатская, д.6",280332,"пер. Крупской, д.135",148648,"алл. Чернышевского, д.139",137221,"ул. Микрорайон, д.2",212664,"наб. Пушкина, д.70",,bee3ecd8-8b9a-47dc-9dbc-3a7dbb4811d5
Гуляева,Варлаам,Дмитриевна,Савельев София Феликсовна,10/19/1975,ст. Мичуринск,41858471743,7327957823,Свидетельство о рождении,"5,540,138,238",Камчатский край,Центральный,ст. Юровск,Село,ул. Новгородская,94,6,10,Гараж,Государственная,"ш. Тупиковое, д.181, кв.4",112,Наследство,3351827,Да,Водный транспорт,АО «Никифоров»,2016,jKQ-991594,Частная,"с. Миллерово, наб. Чернышевского, д. 941, 160267",2755799,Да,Кудряшов Лимитед Банк,"д. Кырен, бул. Литейный, д. 342 стр. 38, 685535",Депозитный счет,RUB,9/13/2022,2276675,Военторг,ЗАО,"ст. Уварово, пр. Новосельский, д. 816 стр. 30, 814638",22315449,16887486,61.07,Вклад в уставный капитал,Фьючерс,ООО «Блохин»,42708,9547,462163,291373,"бул. Кавказский, д.90",87202,"бул. Цветочный, д.25",484824,"алл. Рылеева, д.150",240787,"алл. Космонавтов, д.83",36192,"алл. Дружбы, д.134",,819c4504-5e8a-43b5-b00b-063a25968665
Белякова,Устин,Валериевна,Дементьева Мстислав Егорович,8/22/1947,г. Вендинга,331235183971,2832722235,Водительское удостоверение,"6,072,239,047",Еврейская АО,Южный,д. Сарапул,Поселок,ш. Высотное,45,4,39,Гараж,Государственная,"пер. Геологический, д.19, кв.51",275,Купля-продажа,4177357,Да,Иное транспортное средство,ЗАО «Моисеев»,1977,KEZ-174278,Частная,"к. Тосно, ул. Белинского, д. 3/5 к. 61, 388464",2464560,Нет,ООО «Большаков Лазарева» Банк,"клх Дивногорск, бул. Толстого, д. 92, 742503",Сберегательный счет,EUR,7/15/2018,2212323,"ЗАО «Владимирова, Крюков и Зыкова»",ООО,"ст. Камышлов, пр. Краснопартизанский, д. 83, 824039",32765481,40497932,90.31,Покупка акций,Акция,НПО «Матвеева»,38003,5441,226561,310777,"ш. Дружбы, д.63",74074,"пр. 50 лет Победы, д.164",240102,"пер. Металлургов, д.107",291390,"ул. Ватутина, д.101",27439,"ул. Таманская, д.120",,1af4c112-6ecd-4c4d-8af5-89ea74e5a2e5
Блохин,Самуил,Богдановна,Меркушева Селиван Фролович,7/3/1965,п. Малгобек,851301770174,1673990059,Свидетельство о рождении,"4,053,746,594",респ. Удмуртия,Центральный,клх Березники,Поселок,наб. Лазурная,198,10,21,Квартира,Муниципальная,"бул. Радищева, д.53, кв.76",313,Дарение,1384712,Нет,Мототранспортное средство,ЗАО «Трофимов Галкин»,2019,rNr-027167,Частная,"п. Губкин, наб. Ростовская, д. 49, 268441",2784880,Нет,ИП «Тихонов-Моисеева» Банк,"д. Кимры, алл. Горняцкая, д. 711 к. 2, 980708",Текущий счет,EUR,11/19/2017,1494658,"ИП «Савин, Фролова и Субботин»",ООО,"с. Якутск, пер. Красный, д. 6/4, 823669",9486166,28938702,27.34,Покупка акций,Вексель,Панфилов Инк,23565,8664,69265,25479,"ул. Фадеева, д.52",25537,"пер. Транспортный, д.176",264046,"бул. Амурский, д.163",288606,"бул. Карьерный, д.30",62519,"ш. Октября, д.38",,019d6857-d579-40e0-92e3-e9e997a5ace3
Соловьев,Татьяна,Ефстафьевич,Панфилов Спиридон Трофимович,6/24/1995,г. Ижевск,612935589156,3777854391,Свидетельство о рождении,"4,102,388,029",Томская обл.,Южный,с. Верхний Баскунчак,Поселок,бул. Алтайский,187,2,1,Жилой дом,Частная,"пер. Некрасова, д.150, кв.40",147,Купля-продажа,2983223,Да,Водный транспорт,НПО «Вишняков Абрамова»,1994,maM-866981,Частная,"клх Белокуриха, бул. Краснофлотский, д. 9, 721576",1059016,Да,Порше Руссланд (Porsche) Банк,"п. Нефтеюганск, наб. 40 лет Октября, д. 9 к. 822, 420026",Депозитный счет,USD,4/6/2019,554624,Ашинский металлургический завод,ЗАО,"клх Соболево, ул. Куйбышева, д. 26 стр. 75, 037102",17457298,19453245,43.47,Вклад в уставный капитал,Вексель,Иркутская нефтяная компания,3301,4132,100113,26150,"алл. Локомотивная, д.30",244441,"ш. Большевистское, д.112",159073,"ул. Микрорайон, д.170",126183,"бул. Прохладный, д.142",188369,"пр. Проезжий, д.117",,2eb47709-e0a3-4c08-87db-9f42d668614e
Антонова,Антонин,Васильевич,Родионова Андроник Святославовна,3/24/1981,ст. Лянтор,329900673801,7961450492,Паспорт,"5,240,732,736",Ростовская обл.,Восточный,ст. Верхоянск,Село,ул. Лазурная,118,7,67,Квартира,Муниципальная,"пр. Гафури, д.86, кв.81",373,Наследство,3592436,Да,Воздушный транспорт,НПО «Лазарев»,1982,QYY-784361,Государственная,"г. Усть-Илимск, пр. Кедровый, д. 354 к. 8/1, 905475",4114111,Нет,ООО «Баранов» Банк,"д. Обоянь, пер. Пограничный, д. 4 к. 4/1, 858423",Депозитный счет,USD,4/29/2020,1019884,НПО «Агафонов»,ПАО,"клх Аша, пер. Студенческий, д. 9 стр. 992, 690964",32259306,21854511,25.52,Вклад в уставный капитал,Акция,ОАО «Туров Якушев»,10093,8646,374402,295771,"бул. Просторный, д.152",293240,"алл. Сиреневая, д.55",113881,"алл. Леваневского, д.173",175908,"пр. Ломоносова, д.155",210532,"бул. Украинский, д.102",,3a2f870d-c59f-461e-bb21-60494e2962cd
Лихачева,Онуфрий,Тарасович,Савина Аристарх Дмитриевна,3/3/2001,д. Мирный,325911438530,5616909736,Водительское удостоверение,"9,980,501,131",Хабаровский край,Центральный,клх Балашиха,Деревня,ш. Вахитова,39,10,28,Иное недвижимое имущество,Муниципальная,"бул. Запорожский, д.57, кв.17",465,Купля-продажа,2822611,Да,Водный транспорт,ООО «Ермаков»,1991,aYb-847044,Частная,"с. Дудинка, алл. Краснопартизанская, д. 51 стр. 8, 528896",1085866,Да,Мираторг Банк,"г. Благовещенск (Амур.), ш. Спортивное, д. 960 к. 6, 119628",Сберегательный счет,EUR,4/22/2017,971990,Госкорпорация по ОрВД,ОАО,"клх Ставрополь, наб. Портовая, д. 712 к. 6/2, 306086",30159774,38031672,78.29,Покупка акций,Опцион,ОАО «Родионова-Евдокимова»,15539,2397,475487,309434,"ш. Суворова, д.116",191203,"наб. Балтийская, д.5",304178,"бул. Майский, д.126",286398,"пр. Ударный, д.114",62026,"наб. Авиационная, д.55",,69f91e01-b0e6-4350-8ec3-b4c6564d8163
Максимов,Захар,Трофимович,Стрелков Зинаида Сергеевна,1/23/1999,д. Волхов,203642596233,9898479062,Водительское удостоверение,"3,012,909,992",респ. Коми,Восточный,г. Октябрьский (Башк.),Поселок,пр. Западный,35,2,36,Гараж,Муниципальная,"ш. Мая 1, д.51, кв.70",384,Дарение,3691764,Нет,Легковой автомобиль,ОАО «Егоров Виноградов»,2011,BxL-611656,Частная,"г. Плесецк, ул. Розы Люксембург, д. 631 стр. 9/3, 166807",1616030,Да,Совкомбанк Банк,"ст. Тымовское, алл. О.Кошевого, д. 611 стр. 69, 228966",Депозитный счет,USD,6/9/2018,2173088,АО «Стрелков Лапин»,ЗАО,"с. Верещагино (Перм.), ш. Ореховое, д. 92, 844744",10724916,47283128,75.33,Покупка акций,Вексель,НПО «Прохоров»,21639,7078,165527,298024,"бул. Фурманова, д.87",216431,"алл. Гафури, д.79",423798,"пр. Ставропольский, д.12",103847,"ш. Целинное, д.135",129044,"ул. Герцена, д.1",,35297936-c24c-4ef7-ba0f-1a1d8ccc9d58
Егорова,Панфил,Алексеевич,Уваров Светлана Арсеньевич,4/20/1990,п. Кировск (Ленин.),80503370099,7329552823,Паспорт,"5,163,837,488",Ямало-Ненецкий АО,Центральный,с. Тикси,Поселок,пр. Кочубея,96,10,49,Земельный участок,Частная,"бул. Черняховского, д.143, кв.47",267,Наследство,4524396,Нет,Мототранспортное средство,РАО «Афанасьева Силина»,2014,EtB-117164,Муниципальная,"д. Бологое, ул. Кутузова, д. 3/5, 983807",476708,Да,Щекиноазот Банк,"г. Пушкин, наб. Островского, д. 7/3 стр. 3, 186593",Сберегательный счет,EUR,9/27/2021,4449777,Цветкова Групп,ОАО,"д. Кизел, пр. Юбилейный, д. 939 к. 1/2, 872940",46213424,36525602,66.57,Покупка акций,Опцион,ИП «Рогова-Самойлов»,5224,4097,263147,205625,"пр. Пожарского, д.34",82351,"ш. Белинского, д.73",188927,"наб. Шоссейная, д.197",40382,"алл. Пархоменко, д.83",191216,"пер. Интернациональный, д.8",,9d381acf-31ec-47ea-90d8-73545e67e94a
Матвеев,Федосий,Васильевич,Евсеев Ипатий Артемьевич,6/20/1965,г. Хатанга,393208485065,6899899025,Паспорт,"2,086,515,024",Вологодская обл.,Центральный,п. Яр-Сале,Село,бул. Весенний,18,8,38,Жилой дом,Муниципальная,"бул. Верхний, д.108, кв.90",455,Наследство,3037912,Нет,Легковой автомобиль,РАО «Королев»,2012,XBH-929891,Государственная,"д. Дно, наб. Морская, д. 6 стр. 731, 490279",1483259,Нет,Воробьева Лтд Банк,"к. Корсаков, ш. Ручейное, д. 9 к. 796, 856646",Текущий счет,RUB,3/15/2024,2249434,"ОАО «Галкина, Костин и Трофимов»",ООО,"д. Казань, ш. Разина, д. 98 к. 2, 469563",47336251,37921091,61.5,Вклад в уставный капитал,Облигация,ИП «Гущина»,8382,7180,198362,300550,"пр. Семашко, д.2",290462,"бул. Орджоникидзе, д.197",437001,"пр. Троицкий, д.200",211113,"алл. Школьная, д.8",18562,"наб. Минская, д.72",,6dd58cc6-a47e-4c42-803d-64c12b02829d
Поляков,Юлиан,Максимовна,Никитина Максим Ефимьевич,8/24/1988,д. Анадырь,440393567036,6692486264,Водительское удостоверение,"4,662,894,186",Ямало-Ненецкий АО,Восточный,д. Торжок,Поселок,наб. Энергетиков,98,3,77,Иное недвижимое имущество,Частная,"ш. Окружное, д.145, кв.13",244,Дарение,2298725,Нет,Воздушный транспорт,АО «Борисов-Голубев»,1996,gks-503598,Государственная,"к. Поронайск, ш. Флотское, д. 5/1 к. 7, 908050",1154268,Да,РАО «Блохин Антонова» Банк,"к. Шарья, ул. Малиновая, д. 87, 583585",Депозитный счет,USD,4/8/2019,4187446,Армтек,ОАО,"к. Октябрьское (Хант.), бул. Орджоникидзе, д. 9, 529574",33210078,14201961,36.29,Вклад в уставный капитал,Опцион,ИП «Беляева-Шестаков»,19947,6645,263225,412706,"ул. Советской Армии, д.24",163354,"наб. Овражная, д.107",84522,"ул. Щорса, д.100",266784,"алл. Красина, д.100",115604,"пер. Восьмого Марта, д.56",,018212c3-2aa9-4de8-84bd-341917eb0685
Носова,Эрнест,Захаровна,Абрамова Афиноген Рубеновна,6/10/1984,с. Белореченск,918617834313,7446105858,Паспорт,"7,074,463,028",Чукотский АО,Южный,г. Сасово,Село,ш. Жданова,91,1,37,Иное недвижимое имущество,Государственная,"пр. Труда, д.3, кв.74",329,Купля-продажа,3911675,Да,Воздушный транспорт,ОАО «Архипов-Ширяев»,1972,vWu-910158,Частная,"г. Нефедова, наб. Крестьянская, д. 5/8, 721818",2537611,Нет,Комаров и партнеры Банк,"к. Чебоксары, пер. Коммуны, д. 618, 556191",Текущий счет,USD,11/12/2018,4616079,АО «Пономарева»,ОАО,"клх Междуреченский, бул. Геологов, д. 671 к. 9/4, 799671",10465114,27240539,61.24,Покупка акций,Акция,АО «Гуляев»,32864,2134,411308,341874,"ш. Народное, д.148",71396,"алл. Троицкая, д.100",420545,"ул. Олега Кошевого, д.148",212727,"пер. Флотский, д.137",189926,"алл. Дружба, д.57",,13103f0e-f4ea-4ef1-88e1-ac598050a4c3
Аксенов,Варлаам,Фокич,Борисова Анатолий Абрамович,5/19/1952,д. Ступино,380848535337,9356965986,Паспорт,"2,983,354,237",респ. Саха (Якутия),Восточный,г. Чехов,Село,наб. Глинки,96,9,94,Иное недвижимое имущество,Государственная,"ул. Ольховая, д.58, кв.47",178,Дарение,3830376,Нет,Легковой автомобиль,"РАО «Тетерин, Попов и Турова»",2019,MBR-070190,Муниципальная,"ст. Якутск, бул. Мелиораторов, д. 33 к. 414, 300775",3299679,Да,"АО «Пестов, Сысоева и Денисов» Банк","д. Джубга, алл. Олега Кошевого, д. 90 к. 4/6, 082526",Депозитный счет,USD,4/24/2017,1483008,"АО «Фокина, Белоусов и Михайлов»",ПАО,"ст. Кашира, наб. Таежная, д. 7/7, 746223",17418516,29936027,96.58,Приватизация,Облигация,Афанасьев и партнеры,37552,7842,407657,99556,"ул. Выгонная, д.14",207167,"ул. Геологическая, д.87",119835,"пр. Авиационный, д.64",181177,"пр. Ореховый, д.71",34215,"алл. Учительская, д.118",,db45b386-2445-4041-9ded-fdcd4d9df008
Сорокин,Евграф,Игоревич,Нестеров Венедикт Тарасовна,7/6/2006,д. Усть-Калманка,21790629459,2474989514,Водительское удостоверение,"9,957,135,201",респ. Алтай,Центральный,клх Озеры,Деревня,ул. Большая,89,8,63,Земельный участок,Частная,"пер. 60 лет СССР, д.188, кв.23",96,Купля-продажа,1465402,Нет,Грузовой автомобиль,АК Алроса,1971,nLL-880374,Частная,"клх Шенкурск, ш. Сосновое, д. 1/5 к. 9/8, 846709",4475762,Да,ООО «Кудрявцева Кудрявцева» Банк,"п. Кижи, наб. Астраханская, д. 81 стр. 935, 854724",Сберегательный счет,EUR,5/31/2023,619783,НПО «Кузьмин»,ОАО,"п. Батайск, пр. Котовского, д. 550, 770664",1162765,21102215,20.22,Покупка акций,Опцион,ЗАО «Мухина Киселева»,33009,5478,159233,222836,"алл. Подгорная, д.47",88354,"пер. М.Горького, д.3",287743,"ш. Физкультурное, д.107",109978,"пер. Павлика Морозова, д.167",53737,"алл. Кирпичная, д.54",,5389d40e-4b6b-448b-b9d0-4673c3ddcd66
Нестеров,Евстафий,Якубович,Капустин Анна Иларионович,10/17/1959,к. Обоянь,766456165377,6616905899,Свидетельство о рождении,"1,311,844,744",Ханты-Мансийский АО,Восточный,ст. Можга,Деревня,наб. Трудовая,183,4,62,Жилой дом,Муниципальная,"ш. Восьмого Марта, д.167, кв.10",395,Дарение,1231206,Нет,Мототранспортное средство,НЗНП,1978,dRI-758864,Государственная,"ст. Соловки, пр. Линейный, д. 8, 368784",3677854,Нет,Фомина Лимитед Банк,"д. Зеленогорск (Ленин.), пер. Тенистый, д. 1/6, 179223",Текущий счет,USD,4/22/2022,206340,Исакова Групп,ЗАО,"к. Шелехов, пер. Геологический, д. 283 стр. 546, 355179",38467555,24213351,50.05,Вклад в уставный капитал,Фьючерс,ОАО «Силин»,22906,5075,19198,472741,"алл. Подлесная, д.42",220931,"ш. Заводское, д.9",94061,"бул. Попова, д.137",291590,"пр. Металлистов, д.173",203540,"ул. Колхозная, д.62",,7f82f982-0e3d-49dc-877d-7a2d6e3c3cb8
Пахомов,Афиноген,Власович,Петухов Валерий Андреевич,4/14/1942,д. Бавлы,299342566153,9950129723,Свидетельство о рождении,"6,462,412,632",респ. Дагестан,Восточный,д. Яшалта,Деревня,алл. Ручейная,135,2,37,Гараж,Муниципальная,"пер. Розы Люксембург, д.153, кв.3",38,Наследство,1574379,Да,Мототранспортное средство,АО «Моисеев Белоусова»,2023,aXC-337742,Частная,"п. Нерчинск, пр. Пушкинский, д. 3 к. 8/4, 663509",1413314,Нет,РАО «Субботина-Якушева» Банк,"д. Яшкуль, наб. Станционная, д. 877 стр. 2, 903491",Депозитный счет,RUB,12/18/2015,1579743,ОАО «Горбунова-Захарова»,ПАО,"д. Саров (Морд.), наб. Монтажников, д. 690 стр. 7, 173051",48114916,8144165,54.0,Вклад в уставный капитал,Фьючерс,Первая тяжеловесная компания,8629,8739,485439,43097,"бул. Льва Толстого, д.106",240698,"бул. Щорса, д.178",69312,"алл. Энергетическая, д.54",84329,"наб. Ореховая, д.118",129547,"ул. Проезжая, д.156",,66f48fcb-cab7-4638-b68b-f0475a57c850
Семенов,Тимур,Зиновьевич,Беляев Тамара Тихонович,12/20/1979,г. Нальчик,354996751891,1855787460,Паспорт,"2,101,749,572",Приморский край,Центральный,с. Баргузин,Деревня,ул. Владимирская,17,10,69,Квартира,Частная,"ул. Омская, д.81, кв.91",153,Наследство,823422,Нет,Грузовой автомобиль,Ренейссанс Хэви Индастрис Ronesans Endustri,1993,JJk-743111,Государственная,"с. Бомнак, ш. Учительское, д. 703 стр. 8, 646134",3247280,Нет,АО «Федосеева-Дементьев» Банк,"ст. Курган, пер. Локомотивный, д. 61, 616270",Текущий счет,EUR,11/18/2016,242415,"РАО «Архипов, Тимофеева и Брагин»",ЗАО,"к. Юрьев-Польский, пер. Машиностроителей, д. 76 к. 164, 725549",44273921,9558253,65.63,Приватизация,Акция,"ОАО «Потапов, Комарова и Соколова»",37147,6571,271136,160413,"бул. Кошевого, д.53",62434,"ш. Максима Горького, д.40",90136,"ул. Сплавная, д.2",147953,"ул. Вишневая, д.167",123595,"алл. Гвардейская, д.67",,535babbe-e03a-41c6-bf06-a2ed94ba61fd
Мельникова,Симон,Гавриилович,Беспалов Никандр Богдановна,9/3/1953,п. Губаха,900124534810,6231596433,Водительское удостоверение,"4,235,899,213",респ. Татарстан,Западный,ст. Буденновск,Деревня,пр. Победа,81,6,7,Дача,Государственная,"ш. М.Горького, д.22, кв.39",413,Купля-продажа,3284517,Да,Легковой автомобиль,Таграс (ТНГ-Групп),2016,RTS-755386,Муниципальная,"к. Ставрополь, пр. Королева, д. 3 к. 498, 887482",1253411,Да,"ИП «Елисеева, Некрасов и Панова» Банк","с. Чехов, пер. Санаторный, д. 24, 108705",Сберегательный счет,RUB,2/5/2022,44804,"ООО «Бирюкова, Королев и Мельникова»",ООО,"ст. Ростов, алл. Киевская, д. 6/4 к. 9/2, 137258",7713282,27097963,24.35,Покупка акций,Акция,ОАО «Кулаков»,36815,4645,309908,213798,"ул. Репина, д.77",278308,"алл. Беляева, д.111",489573,"алл. Родниковая, д.170",201061,"наб. Восьмого Марта, д.11",196352,"ул. Чайковского, д.59",,e2d7a34d-473e-4ccf-a94e-b6c4be36a118
Капустин,Ефрем,Бориславович,Гусев Матвей Егорович,5/1/1946,д. Котлас,584198627129,5537028605,Паспорт,"1,279,769,075",Вологодская обл.,Западный,п. Усть-Баргузин,Село,ул. Техническая,144,3,35,Гараж,Частная,"бул. Розы Люксембург, д.77, кв.84",132,Дарение,3912940,Нет,Водный транспорт,РАО «Кулагин»,1983,Ekj-991190,Муниципальная,"ст. Выборг, бул. Вокзальный, д. 6 стр. 196, 833853",4426115,Нет,ООО «Харитонова» Банк,"с. Курганинск, наб. 60 лет Октября, д. 4/6 к. 2, 298909",Текущий счет,RUB,5/12/2019,4567293,"РАО «Зуева, Терентьев и Одинцова»",ООО,"ст. Светлогорск (Калин.), ул. Иркутская, д. 32 стр. 887, 995448",46074081,19381800,26.86,Приватизация,Облигация,ЗАО «Сорокина»,34795,108,398130,318562,"наб. Вавилова, д.199",78705,"ш. Солнечное, д.108",218404,"ул. Городская, д.74",259196,"ул. Придорожная, д.140",78892,"наб. Достоевского, д.141",,8e49299a-5c86-4e33-8c63-5adc50cc5f00
Гаврилова,Светлана,Феодосьевич,Медведев Творимир Демидович,10/1/1941,д. Хасан,138579719229,3996148643,Паспорт,"3,445,394,688",Нижегородская обл.,Восточный,к. Хужир,Село,пер. Речной,105,3,93,Земельный участок,Частная,"алл. Заводская, д.158, кв.26",254,Купля-продажа,1256804,Нет,Воздушный транспорт,АО «Павлова»,1991,lqw-633380,Частная,"д. Сухиничи, ул. Кооперативная, д. 66 стр. 221, 870435",3935138,Да,ООО «Мясников-Прохорова» Банк,"ст. Углич, бул. Шмидта, д. 99, 065947",Текущий счет,USD,11/4/2015,4991514,ЗАО «Маслов»,ОАО,"п. Новый Уренгой, наб. Мелиораторов, д. 7/2 стр. 4/9, 041894",25143141,11726204,30.74,Покупка акций,Облигация,"ОАО «Николаева, Носкова и Кулагина»",24255,3876,401195,305495,"бул. Парковый, д.57",96202,"ш. Ставропольское, д.186",88964,"алл. Смоленская, д.170",245718,"ш. Коминтерна, д.175",57295,"алл. Подстанция, д.32",,2ef8d943-ed36-4c43-b678-c62a4e2f49c0
Рябов,Силантий,Валентиновна,Копылов Карл Мироновна,8/3/1965,д. Череповец,635344458439,2739863125,Паспорт,"4,092,125,216",респ. Бурятия,Восточный,с. Снежинск,Деревня,ш. К.Маркса,74,3,62,Земельный участок,Частная,"ул. Полярная, д.140, кв.3",420,Дарение,2761087,Да,Легковой автомобиль,Андреев Лтд,2021,CUK-674337,Муниципальная,"г. Плесецк, наб. Автомобилистов, д. 87 к. 84, 490487",2043955,Нет,ИП «Артемьева Чернов» Банк,"г. Шилка, пер. Отрадный, д. 4/5 к. 571, 225298",Сберегательный счет,USD,9/25/2016,3008266,ОАО «Данилова-Селезнева»,ПАО,"п. Лагань, наб. Урожайная, д. 78 к. 2, 829434",41490694,10704989,23.85,Вклад в уставный капитал,Облигация,Лыткина Лимитед,28889,1875,389042,338408,"пр. Халтурина, д.31",209011,"пр. Просвещения, д.67",93529,"наб. Степана Разина, д.21",241022,"пер. Седова, д.174",132361,"пер. Приморский, д.183",,7cf59614-6478-4aab-9c29-7e93b41c011d
Кулакова,Феоктист,Зиновьевич,Орлова Евгений Егоровна,8/13/1972,г. Троицко-Печорск,135513457862,9828876957,Свидетельство о рождении,"2,583,143,070",респ. Крым,Южный,ст. Енисейск,Деревня,ш. Горняцкое,167,10,9,Квартира,Государственная,"бул. Физкультурный, д.28, кв.16",239,Дарение,3947587,Да,Сельскохозяйственная техника,ООО «Потапов-Морозов»,2019,nxV-965083,Государственная,"к. Россошь, пер. Революционный, д. 5 стр. 2/6, 814161",3686937,Да,ОАО «Петухов» Банк,"к. Октябрьский (Башк.), наб. Пригородная, д. 3 стр. 4, 179077",Сберегательный счет,USD,8/7/2017,1096259,Объединенная судостроительная корпорация,ПАО,"к. Сухиничи, ул. Саратовская, д. 7, 632264",42637671,38114472,95.56,Покупка акций,Опцион,ЗАО «Терентьев Данилова»,26810,846,228811,215706,"пр. Станиславского, д.186",50468,"ш. Тополиное, д.14",453345,"бул. Карла Маркса, д.2",153830,"ул. Болотная, д.92",183546,"ш. Техническое, д.196",,a1c1fa9e-86cc-44f7-a191-976b6b44dcb8
Зиновьева,Капитон,Валентинович,Панова Адриан Эдгардович,5/2/1947,к. Мелеуз,505758748396,8863367947,Свидетельство о рождении,"2,084,849,647",Самарская обл.,Восточный,клх Находка,Село,наб. Сахалинская,42,8,15,Земельный участок,Государственная,"пер. Мая 1, д.114, кв.31",395,Наследство,2207154,Да,Иное транспортное средство,Новосталь,2024,GYM-837427,Муниципальная,"п. Волгодонск, бул. Коммунальный, д. 91 стр. 3, 600295",1330395,Нет,ГК Великан Банк,"клх Томпа, ш. Гоголя, д. 33 стр. 75, 962652",Сберегательный счет,RUB,5/22/2018,3154265,ЗАО «Фомина-Вишнякова»,ПАО,"д. Сорочинск, ш. Волгоградское, д. 7 к. 8, 041208",24691989,30937308,30-Mar,Вклад в уставный капитал,Опцион,Меркушева Инкорпорэйтед,48157,957,434444,286175,"пер. Тельмана, д.114",51940,"пер. Кочубея, д.102",188679,"ш. Моховое, д.3",26728,"бул. Горный, д.18",181852,"ш. Краснодарское, д.170",,4ec74cb4-9725-4498-882f-8ff16c9bd93d
